date,hour,day_of_week,is_weekend,is_peak_hour,month,corridorName,jumlah_penumpang,corridor_encoded
2023-04-01,6,5,1,1,4,Kampung Rambutan - Ragunan,1,74
2023-04-01,6,5,1,1,4,Pulo Gebang - Pulo Gadung 2 via PIK,1,123
2023-04-01,7,5,1,1,4,Harmoni - Jakarta International Stadium,1,47
2023-04-01,9,5,1,1,4,PGC - Juanda,1,91
2023-04-01,10,5,1,0,4,Pulo Gebang - Pulo Gadung 2 via PIK,1,123
2023-04-01,12,5,1,0,4,Kampung Rambutan - Blok M,1,67
2023-04-01,14,5,1,0,4,Rusun Flamboyan - Cengkareng,1,146
2023-04-01,15,5,1,0,4,Ragunan - MH Thamrin via Kuningan,1,135
2023-04-01,16,5,1,1,4,Kalideres - Puri Kembangan,1,57
2023-04-01,16,5,1,1,4,Rawamangun - Klender,1,139
2023-04-01,17,5,1,1,4,Jelambar - Juanda,1,51
2023-04-01,19,5,1,1,4,BSD Serpong - Fatmawati,1,3
2023-04-01,19,5,1,1,4,Kp. Rambutan - Kalisari,1,79
2023-04-01,20,5,1,0,4,Cawang UKI - Lubang Buaya,1,18
2023-04-02,5,6,1,0,4,S. Parman - Tanah Abang,1,164
2023-04-02,7,6,1,1,4,Rusun Cipinang Muara - Jatinegara,1,145
2023-04-02,9,6,1,1,4,Ciputat - CSW,1,33
2023-04-02,11,6,1,0,4,Pasar Minggu - Jagakarsa,1,101
2023-04-02,13,6,1,0,4,Ragunan - MH Thamrin via Semanggi,1,136
2023-04-02,15,6,1,0,4,Pulo Gadung 2 - Dukuh Atas 2,1,118
2023-04-02,19,6,1,1,4,Puri Beta - Pancoran Barat,1,127
2023-04-02,21,6,1,0,4,Sunter Boulevard Barat - Penjaringan,1,184
2023-04-03,5,0,0,0,4,Andara - Stasiun Universitas Pancasila,2,0
2023-04-03,5,0,0,0,4,BKN - Blok M,1,1
2023-04-03,5,0,0,0,4,BSD - Jelambar,1,2
2023-04-03,5,0,0,0,4,Bekasi Timur - Cawang,2,7
2023-04-03,5,0,0,0,4,Bintara - Cipinang Indah,1,8
2023-04-03,5,0,0,0,4,Bintaro - Blok M,1,9
2023-04-03,5,0,0,0,4,Blok M - Kota,1,12
2023-04-03,5,0,0,0,4,Blok M - Pasar Minggu,1,14
2023-04-03,5,0,0,0,4,Blok M - Universitas Indonesia,1,15
2023-04-03,5,0,0,0,4,Bulak Turi - Tanjung Priok,2,17
2023-04-03,5,0,0,0,4,Cibubur - BKN,1,20
2023-04-03,5,0,0,0,4,Cibubur - Balai Kota,3,21
2023-04-03,5,0,0,0,4,Cilangkap - Cililitan,3,24
2023-04-03,5,0,0,0,4,Ciledug - Tendean,3,25
2023-04-03,5,0,0,0,4,Cililitan - Condet,1,26
2023-04-03,5,0,0,0,4,Cililitan - Condet via Kayu Manis,1,27
2023-04-03,5,0,0,0,4,Cililitan - Kp. Pulo,1,29
2023-04-03,5,0,0,0,4,Cinere - Bundaran Senayan,1,31
2023-04-03,5,0,0,0,4,Dukuh Atas - Casablanca via Epicentrum Raya,1,36
2023-04-03,5,0,0,0,4,Harapan Indah - ASMI,1,46
2023-04-03,5,0,0,0,4,Harmoni - Jakarta International Stadium,1,47
2023-04-03,5,0,0,0,4,Jambore Cibubur - Pasar Rebo,1,50
2023-04-03,5,0,0,0,4,Kalideres - Bundaran HI via Veteran,1,55
2023-04-03,5,0,0,0,4,Kalideres - Puri Kembangan,1,57
2023-04-03,5,0,0,0,4,Kalimalang - Duren Sawit,1,58
2023-04-03,5,0,0,0,4,Kampung Melayu - Duren Sawit,1,59
2023-04-03,5,0,0,0,4,Kampung Melayu - Pondok Kelapa,1,60
2023-04-03,5,0,0,0,4,Kampung Melayu - Pulo Gebang via BKT,1,62
2023-04-03,5,0,0,0,4,Kampung Rambutan - Monas,1,70
2023-04-03,5,0,0,0,4,Kampung Rambutan - Pinang Ranti,1,72
2023-04-03,5,0,0,0,4,Kampung Rambutan - Pondok Gede,2,73
2023-04-03,5,0,0,0,4,Kampung Rambutan - Ragunan,1,74
2023-04-03,5,0,0,0,4,Kampung Rambutan - Tanjung Priok,2,75
2023-04-03,5,0,0,0,4,Kebayoran Lama - Jelambar,1,76
2023-04-03,5,0,0,0,4,Kebayoran Lama - Tanah Abang,3,77
2023-04-03,5,0,0,0,4,Lebak Bulus - Cipulir,2,82
2023-04-03,5,0,0,0,4,Lebak Bulus - Pasar Baru,1,83
2023-04-03,5,0,0,0,4,Lebak Bulus - Pasar Baru via Tomang,1,84
2023-04-03,5,0,0,0,4,Lebak Bulus - Petukangan,1,85
2023-04-03,5,0,0,0,4,Lenteng Agung - Aseli,2,87
2023-04-03,5,0,0,0,4,Matraman Baru - Ancol,2,88
2023-04-03,5,0,0,0,4,PGC - Juanda,1,91
2023-04-03,5,0,0,0,4,PGC 1 - Ancol,2,92
2023-04-03,5,0,0,0,4,PGC 2 - Grogol 2,1,93
2023-04-03,5,0,0,0,4,PGC 2 - Tanjung Priok,2,94
2023-04-03,5,0,0,0,4,Pancoran - Kampung Rambutan,1,96
2023-04-03,5,0,0,0,4,Pantai Maju - Kota,2,99
2023-04-03,5,0,0,0,4,Pasar Minggu - Ciganjur via KB Ragunan,1,100
2023-04-03,5,0,0,0,4,Pasar Minggu - Jagakarsa,2,101
2023-04-03,5,0,0,0,4,Pasar Minggu - Tanah Abang,3,102
2023-04-03,5,0,0,0,4,Pasar Minggu - Velbak,1,103
2023-04-03,5,0,0,0,4,Pinang Ranti - Kampung Rambutan,1,107
2023-04-03,5,0,0,0,4,Pinang Ranti - Pramuka,1,109
2023-04-03,5,0,0,0,4,Pluit - Senen,2,111
2023-04-03,5,0,0,0,4,Poris Plawad - Bundaran Senayan,1,114
2023-04-03,5,0,0,0,4,Pulo Gadung - Monas,1,116
2023-04-03,5,0,0,0,4,Pulo Gadung 2 - Tosari,1,120
2023-04-03,5,0,0,0,4,Pulo Gebang - Matraman,2,121
2023-04-03,5,0,0,0,4,Pulo Gebang - Pulo Gadung 2 via PIK,2,123
2023-04-03,5,0,0,0,4,Puri Beta - Dukuh Atas,1,125
2023-04-03,5,0,0,0,4,Ragunan - Blok M via Kemang,1,131
2023-04-03,5,0,0,0,4,Ragunan - Gelora Bung Karno,2,133
2023-04-03,5,0,0,0,4,Ragunan - MH Thamrin,1,134
2023-04-03,5,0,0,0,4,Ragunan - MH Thamrin via Semanggi,1,136
2023-04-03,5,0,0,0,4,Rawa Buaya - Rawa Kompeni,1,137
2023-04-03,5,0,0,0,4,Rawamangun - Duren Sawit,2,138
2023-04-03,5,0,0,0,4,Rempoa - Blok M,2,141
2023-04-03,5,0,0,0,4,Roxy - Benhil,2,142
2023-04-03,5,0,0,0,4,Rusun Cakung Barat - Pulo Gadung,2,143
2023-04-03,5,0,0,0,4,Rusun Cipinang Muara - Jatinegara,1,145
2023-04-03,5,0,0,0,4,Rusun Flamboyan - Cengkareng,1,146
2023-04-03,5,0,0,0,4,Rusun Kapuk Muara - Penjaringan,2,149
2023-04-03,5,0,0,0,4,Rusun Marunda - Terminal Terpadu Pulo Gebang,1,153
2023-04-03,5,0,0,0,4,Rusun Rawa Bebek - Bukit Duri,1,158
2023-04-03,5,0,0,0,4,Rusun Rawa Bebek - Kodamar,1,159
2023-04-03,5,0,0,0,4,Rusun Tambora - Pluit,1,162
2023-04-03,5,0,0,0,4,Senen - Blok M,2,167
2023-04-03,5,0,0,0,4,Senen - Lebak Bulus,1,168
2023-04-03,5,0,0,0,4,Senen - Pulo Gadung,1,170
2023-04-03,5,0,0,0,4,Stasiun Manggarai - Blok M,1,174
2023-04-03,5,0,0,0,4,Stasiun Manggarai - UI,1,175
2023-04-03,5,0,0,0,4,Stasiun Palmerah - Bundaran Senayan,1,176
2023-04-03,5,0,0,0,4,Stasiun Tebet - BNN,1,178
2023-04-03,5,0,0,0,4,Stasiun Tebet - Karet via Patra Kuningan,1,180
2023-04-03,5,0,0,0,4,Stasiun Tebet - Karet via Underpass,1,181
2023-04-03,5,0,0,0,4,Stasiun Tebet - Rusun Karet Tengsin,1,182
2023-04-03,5,0,0,0,4,Summarecon Bekasi - BNN,1,183
2023-04-03,5,0,0,0,4,Sunter Boulevard Barat - Penjaringan,1,184
2023-04-03,5,0,0,0,4,Taman Kota - Budi Luhur,1,186
2023-04-03,5,0,0,0,4,Tanah Abang - Blok M,1,188
2023-04-03,5,0,0,0,4,Tanah Abang - Grogol via Tawakal,1,189
2023-04-03,5,0,0,0,4,Tanah Abang - Kebayoran Lama,2,191
2023-04-03,5,0,0,0,4,Tanah Abang - Meruya,2,194
2023-04-03,5,0,0,0,4,Tanah Abang - St. Gondangdia,1,195
2023-04-03,5,0,0,0,4,Tanjung Priok - Jembatan Item,1,198
2023-04-03,5,0,0,0,4,Tanjung Priok - PGC 2,1,199
2023-04-03,5,0,0,0,4,Tanjung Priok - Plumpang,1,201
2023-04-03,5,0,0,0,4,Term. Rawamangun - Term. Manggarai,1,206
2023-04-03,5,0,0,0,4,Terminal Kalideres - Terminal Muara Angke,1,208
2023-04-03,5,0,0,0,4,Terminal Tanah Merah - Pulo Gadung,1,212
2023-04-03,5,0,0,0,4,Terminal Tanjung Priok - Ancol Barat,1,213
2023-04-03,5,0,0,0,4,Tongtek - Tebet Eco Park (TEP) - Cililitan,2,214
2023-04-03,6,0,0,1,4,Andara - Stasiun Universitas Pancasila,1,0
2023-04-03,6,0,0,1,4,BKN - Blok M,1,1
2023-04-03,6,0,0,1,4,BSD - Jelambar,1,2
2023-04-03,6,0,0,1,4,Batusari - Grogol,1,4
2023-04-03,6,0,0,1,4,Bekasi Barat - Kuningan,2,6
2023-04-03,6,0,0,1,4,Bekasi Timur - Cawang,2,7
2023-04-03,6,0,0,1,4,Bintara - Cipinang Indah,2,8
2023-04-03,6,0,0,1,4,Bintaro - Fatmawati,2,10
2023-04-03,6,0,0,1,4,Blok M - Andara,3,11
2023-04-03,6,0,0,1,4,Blok M - Kota,3,12
2023-04-03,6,0,0,1,4,Blok M - PGC,3,13
2023-04-03,6,0,0,1,4,Cawang UKI - Lubang Buaya,2,18
2023-04-03,6,0,0,1,4,Cempaka Putih - Pulo Gadung via Kelapa Gading,2,19
2023-04-03,6,0,0,1,4,Cibubur - BKN,2,20
2023-04-03,6,0,0,1,4,Cibubur - Balai Kota,2,21
2023-04-03,6,0,0,1,4,Cibubur Junction - Blok M,1,23
2023-04-03,6,0,0,1,4,Cilangkap - Cililitan,1,24
2023-04-03,6,0,0,1,4,Ciledug - Tendean,1,25
2023-04-03,6,0,0,1,4,Cililitan - Condet,2,26
2023-04-03,6,0,0,1,4,Cililitan - Dwikora,2,28
2023-04-03,6,0,0,1,4,Cililitan - Kp. Pulo,1,29
2023-04-03,6,0,0,1,4,Cilincing - Rorotan,1,30
2023-04-03,6,0,0,1,4,Ciputat - CSW,2,33
2023-04-03,6,0,0,1,4,Ciputat - Kampung Rambutan,1,34
2023-04-03,6,0,0,1,4,Dukuh Atas - Casablanca via Epicentrum Raya,1,36
2023-04-03,6,0,0,1,4,Dwikora - Penas Kalimalang,1,37
2023-04-03,6,0,0,1,4,Gondangdia - Senen,3,39
2023-04-03,6,0,0,1,4,Grogol - Benhil,2,40
2023-04-03,6,0,0,1,4,Grogol - Meruya via Roxy,1,41
2023-04-03,6,0,0,1,4,Grogol - Tubagus Angke,2,44
2023-04-03,6,0,0,1,4,Harmoni - Jakarta International Stadium,3,47
2023-04-03,6,0,0,1,4,JIS - Terminal Muara Angke,2,48
2023-04-03,6,0,0,1,4,Jelambar - Juanda,1,51
2023-04-03,6,0,0,1,4,Jelambar - Kota,2,52
2023-04-03,6,0,0,1,4,Joglo - Blok M,3,53
2023-04-03,6,0,0,1,4,Kalibata - Kuningan,2,54
2023-04-03,6,0,0,1,4,Kalideres - Bundaran HI via Veteran,3,55
2023-04-03,6,0,0,1,4,Kalideres - Gelora Bung Karno,1,56
2023-04-03,6,0,0,1,4,Kalideres - Puri Kembangan,3,57
2023-04-03,6,0,0,1,4,Kalimalang - Duren Sawit,3,58
2023-04-03,6,0,0,1,4,Kampung Melayu - Duren Sawit,2,59
2023-04-03,6,0,0,1,4,Kampung Melayu - Pondok Kelapa,3,60
2023-04-03,6,0,0,1,4,Kampung Melayu - Pulo Gadung,1,61
2023-04-03,6,0,0,1,4,Kampung Melayu - Pulo Gebang via BKT,1,62
2023-04-03,6,0,0,1,4,Kampung Melayu - Ragunan,1,63
2023-04-03,6,0,0,1,4,Kampung Melayu - Tanah Abang,2,64
2023-04-03,6,0,0,1,4,Kampung Melayu - Tanah Abang via Cikini,2,65
2023-04-03,6,0,0,1,4,Kampung Rambutan - Bidara Cina,1,66
2023-04-03,6,0,0,1,4,Kampung Rambutan - Juanda via Pasar Baru,1,68
2023-04-03,6,0,0,1,4,Kampung Rambutan - Lebak Bulus,2,69
2023-04-03,6,0,0,1,4,Kampung Rambutan - Monas,1,70
2023-04-03,6,0,0,1,4,Kampung Rambutan - Pasar Rebo via Poncol,2,71
2023-04-03,6,0,0,1,4,Kampung Rambutan - Pinang Ranti,1,72
2023-04-03,6,0,0,1,4,Kampung Rambutan - Pondok Gede,1,73
2023-04-03,6,0,0,1,4,Kampung Rambutan - Tanjung Priok,1,75
2023-04-03,6,0,0,1,4,Kebayoran Lama - Tanah Abang,1,77
2023-04-03,6,0,0,1,4,Kelapa Gading - Rusun Kemayoran,3,78
2023-04-03,6,0,0,1,4,Kp. Rambutan - Kalisari,2,79
2023-04-03,6,0,0,1,4,Lebak Bulus - Andara,3,81
2023-04-03,6,0,0,1,4,Lebak Bulus - Pasar Baru via Tomang,1,84
2023-04-03,6,0,0,1,4,Lebak Bulus - Petukangan,1,85
2023-04-03,6,0,0,1,4,Lebak Bulus - Ragunan,3,86
2023-04-03,6,0,0,1,4,Lenteng Agung - Aseli,1,87
2023-04-03,6,0,0,1,4,Matraman Baru - Ancol,1,88
2023-04-03,6,0,0,1,4,Meruya - Blok M,2,89
2023-04-03,6,0,0,1,4,Monas - Pantai Indah Kapuk,2,90
2023-04-03,6,0,0,1,4,PGC - Juanda,3,91
2023-04-03,6,0,0,1,4,PGC 1 - Ancol,1,92
2023-04-03,6,0,0,1,4,PGC 2 - Grogol 2,2,93
2023-04-03,6,0,0,1,4,Palem Semi - Bundaran Senayan,2,95
2023-04-03,6,0,0,1,4,Pancoran - Kampung Rambutan,3,96
2023-04-03,6,0,0,1,4,Pantai Maju - Balai Kota,1,98
2023-04-03,6,0,0,1,4,Pantai Maju - Kota,3,99
2023-04-03,6,0,0,1,4,Pasar Minggu - Jagakarsa,2,101
2023-04-03,6,0,0,1,4,Pasar Minggu - Tanah Abang,2,102
2023-04-03,6,0,0,1,4,Pasar Minggu - Velbak,1,103
2023-04-03,6,0,0,1,4,Pelabuhan Kaliadem - Kota,2,104
2023-04-03,6,0,0,1,4,Pesanggrahan - Blok M,2,105
2023-04-03,6,0,0,1,4,Pinang Ranti - Bundaran Senayan,1,106
2023-04-03,6,0,0,1,4,Pinang Ranti - Pramuka,1,109
2023-04-03,6,0,0,1,4,Pinang Ranti - Pulo Gadung,1,110
2023-04-03,6,0,0,1,4,Pondok Kelapa - BKN,1,112
2023-04-03,6,0,0,1,4,Pondok Labu - Blok M,2,113
2023-04-03,6,0,0,1,4,Poris Plawad - Bundaran Senayan,2,114
2023-04-03,6,0,0,1,4,Pulo Gadung - Kota,1,115
2023-04-03,6,0,0,1,4,Pulo Gadung - Monas,3,116
2023-04-03,6,0,0,1,4,Pulo Gadung - Rawa Buaya via Balai Kota,1,117
2023-04-03,6,0,0,1,4,Pulo Gadung 2 - Dukuh Atas 2,2,118
2023-04-03,6,0,0,1,4,Pulo Gadung 2 - Tosari,2,120
2023-04-03,6,0,0,1,4,Pulo Gebang - Pulo Gadung 2,2,122
2023-04-03,6,0,0,1,4,Pulo Gebang - Pulo Gadung 2 via PIK,1,123
2023-04-03,6,0,0,1,4,Pulo Gebang - Rorotan,1,124
2023-04-03,6,0,0,1,4,Puri Beta - Dukuh Atas,1,125
2023-04-03,6,0,0,1,4,Puri Beta - Kuningan (Express),2,126
2023-04-03,6,0,0,1,4,Puri Beta - Pancoran Barat,2,127
2023-04-03,6,0,0,1,4,Puri Beta - Ragunan,1,128
2023-04-03,6,0,0,1,4,Puri Beta 2 - Tendean,3,129
2023-04-03,6,0,0,1,4,Puri Kembangan - Sentraland Cengkareng,2,130
